id,tags
403744,[""]
403745,["phsecurity"]
403750,["unit-testing","testing","boolean"]
403751,[""]
403752,[""]
403754,[""]
403755,[""]
403756,[""]
403757,[""]
403759,["object-oriented","architectural-patterns"]
403760,[""]
403764,[""]
403765,["design-patterns","factory","abstract-factory"]
403767,[""]
403768,[""]
403770,[""]
403771,[""]
403772,[""]
403773,["java","database","database-design","spring"]
403775,[""]
403776,[""]
403777,["object-oriented","client-server","procedural"]
403778,["architectural-patterns","storage"]
403779,["architecture","django","real-time","websockets"]
403781,["design-patterns","architecture","web-development","architectural-patterns","reactjs"]
403783,["websites","cookies","social-networks","privacy","tracking"]
403785,[""]
403788,[""]
403789,["design-patterns","decorator"]
403790,[""]
403791,[""]
403795,["database","database-design"]
403796,["design-patterns","patterns-and-practices"]
403797,[""]
403798,["rest","api-design"]
403800,[""]
403801,[""]
403803,["database","operating-systems","parallelism","file-systems","file-storage"]
403804,[""]
403805,[""]
403807,["ruby","ruby-on-rails","amazon-ec2"]
403809,["design","python","api-design","microservices","redis"]
403810,[""]
403811,[""]
403813,[""]
403814,[""]
403815,[""]
403816,["repository-pattern","clean-architecture"]
403817,[""]
403819,[""]
403820,["design","rest","encryption"]
403821,[""]
403823,["architecture","web-applications","architectural-patterns","business-logic","layers"]
403824,["unit-testing","testing","continuous-integration"]
403825,[""]
403826,[""]
403828,["architecture","api","api-design","web"]
403830,["c#","strings"]
403831,[""]
403832,[""]
403834,[""]
403835,["aws"]
403837,[""]
403838,[""]
403839,["rest","microservices","web-services","gui","microfrontends"]
403840,["java","object-oriented","interfaces"]
403841,[""]
403842,[""]
403843,[""]
403844,["object-oriented","interfaces","iterator"]
403848,[""]
403849,["c++","coding-style","optimization","c++14"]
403852,[""]
403853,[""]
403855,["c#","development-process","self-improvement"]
403856,[""]
403857,[""]
403858,[""]
403859,[""]
403861,[""]
403862,["design-patterns","object-oriented-design","api","api-design"]
403863,["c#","unit-testing",".net","async","tc"]
403865,[""]
403866,["design","uml","modeling","sequence-diagram","middleware"]
403867,["naming","naming-standards"]
403869,[""]
403870,[""]
403871,[""]
403872,["architecture","entity","dto"]
403873,[""]
403874,[""]
403876,["java","design-patterns","object-oriented","functional-programming","generics"]
403877,["unit-testing"]
403880,[""]
403882,[""]
403884,[""]
403885,["html","httstandards","http-response"]
403886,[""]
403887,[""]
403888,[""]
403889,[""]
403890,["domain-driven-design","domain-model","value-object"]
403891,[""]
403892,[""]
403893,[""]
403896,[""]
403897,[""]
403899,[""]
403900,[""]
403907,[""]
403909,[""]
403910,["rest","web-api"]
